elapsed_min,loss,loss_alignment,loss_disagreement,loss_kl,loss_seg,lr,step,val_dice,val_ged,val_iou,val_predicted_disagreement_corr,val_predicted_disagreement_mae,val_uncertainty_corr,val_uncertainty_mae
0.5239333073298137,367939.9375,0.0,174352.140625,0.00018721070955507457,366196.40625,0.0001,1,0.030459819850533188,1.0619965968878529,0.016486327761710325,-0.016554895310418573,0.5726967385170512,0.0007807721643420634,0.9813847903085604
2.4453826745351157,7481.30517578125,0.0,61544.890625,14.138545989990234,6851.7177734375,0.0001,1000,0.31372499565470247,0.40434459881640594,0.24532792279690202,-0.31464003402063584,0.33178248792154014,0.5507626368165833,0.020879031900466947
4.386371167500814,3234.844970703125,0.0,21388.234375,13.853300094604492,3007.109375,0.0001,2000,0.3519834363984944,0.4116004111485287,0.2801329392696595,-0.12287572931926202,0.19383480938546813,0.5402140839595071,0.020435605450368374
6.321082691351573,3457.17333984375,0.0,16667.94921875,11.48522663116455,3279.0087890625,3.981071705534972e-05,3000,0.35205460909336467,0.39969590826192775,0.2768751632361803,-0.019905511196492434,0.15969639888703374,0.5389122846667035,0.02096030509311517
8.249169409275055,5544.54638671875,0.0,16443.8046875,12.524118423461914,5367.58447265625,3.981071705534972e-05,4000,0.32402955473067085,0.3698185857753209,0.25206609176047196,0.17708682992507616,0.13190589608541398,0.5489763137022494,0.020262697183191066
10.17761078675588,3916.12890625,0.0,11821.3017578125,14.657209396362305,3783.2587890625,1.584893192461113e-05,5000,0.3114096742471528,0.3831591271696361,0.24272828152920475,0.29445869726592244,0.12141507874839699,0.549571848267153,0.01952977771581068
12.106797607739766,4315.52197265625,0.0,10575.666015625,12.96030044555664,4196.8046875,1.584893192461113e-05,6000,0.3196567027920549,0.38444597408469716,0.2494349741691521,0.3443449300697511,0.1117034057165532,0.5465275224661883,0.019839984777197055
14.039203882217407,4130.728515625,0.0,9206.11328125,12.101541519165039,4026.56591796875,6.3095734448019305e-06,7000,0.31545030823592735,0.3919752832144759,0.24566566521773897,0.3663693665815925,0.10718359172389068,0.5391052419052397,0.0201545029306645
15.967819515864054,3542.509521484375,0.0,8426.79296875,9.8029146194458,3448.438720703125,6.3095734448019305e-06,8000,0.29911808076152635,0.3850077303341785,0.23165205910058037,0.3859500702670836,0.1029882208185763,0.541964016161645,0.019826541055223777
17.905491014321644,4488.234375,0.0,9845.03515625,12.55417537689209,4377.22998046875,2.511886431509579e-06,9000,0.2967553384946482,0.3879505141376474,0.22981132962068346,0.4026749727704393,0.10074154120845168,0.542521306846205,0.019997724915627527
19.83299051920573,3838.010009765625,0.0,14577.7587890625,11.427108764648438,3680.805419921875,2.511886431509579e-06,10000,0.30321207237157866,0.39548901054298913,0.2356448455976774,0.40600303971719504,0.09885841771788294,0.5368400189899515,0.01997690821114163
