elapsed_min,loss,loss_alignment,loss_disagreement,loss_kl,loss_seg,lr,step,val_dice,val_ged,val_iou,val_predicted_disagreement_corr,val_predicted_disagreement_mae,val_uncertainty_corr,val_uncertainty_mae
0.5284243901570638,377892.4375,0.0,174352.140625,0.00018721070955507457,376148.90625,0.0001,1,0.027881664366689873,1.131826863943366,0.015069353094764428,-0.023052208827715713,0.5700910235551871,-0.0013961587917393325,0.9853172545090908
2.497366408507029,7332.74755859375,0.0,59855.28125,19.98724937438965,6714.20751953125,0.0001,1000,0.37217907762963154,0.39000294576347644,0.2953767155148712,-0.01989825041220334,0.3277032731079421,0.4242171233634356,0.049094915006831254
4.463417327404022,3716.775634765625,0.0,22370.1015625,21.342695236206055,3471.73193359375,0.0001,2000,0.28009762822228834,0.3978590319545649,0.2202236188791461,0.1762527955302406,0.20176619912623403,0.5150813494808213,0.02537217176235685
6.415628111362457,3398.1748046875,0.0,11994.232421875,32.75485610961914,3245.4775390625,0.0001,3000,0.18366230115784715,0.3732367838311074,0.13454213905524057,0.357917091117205,0.13554130795907568,0.4806162252416767,0.048231620551589305
8.373579708735148,4865.68115234375,0.0,11627.76953125,19.476287841796875,4729.92724609375,0.0001,4000,0.2791737882034982,0.4023875737883874,0.2177867008227498,0.44519027944818246,0.10170939413300724,0.5238990959283883,0.02306002437611841
10.341172365347544,4155.40625,0.0,7139.3701171875,19.65749740600586,4064.35498046875,0.0001,5000,0.3097949735314649,0.4228350489874791,0.2435162970692676,0.4881195233932921,0.07851622913105669,0.5143408169467573,0.022763003132666326
12.295593039194744,5348.08642578125,0.0,6125.716796875,17.520132064819336,5269.30908203125,0.0001,6000,0.30257653866705275,0.4418301103339898,0.23644326438247934,0.5196675989334144,0.06257055613655751,0.5159258126896997,0.02221341581260005
14.241262904802959,4007.974365234375,0.0,4572.91015625,17.038219451904297,3945.20703125,0.0001,7000,0.2856222671099977,0.41194635976256166,0.22155376683502642,0.5443038558979961,0.051194919285406974,0.5346494778070302,0.020866769514099413
16.19469794432322,3585.978271484375,0.0,3993.452880859375,16.740055084228516,3529.3037109375,0.0001,8000,0.2693319385043945,0.42747575606554133,0.2085453556545992,0.5257755511156237,0.04412454545191347,0.5389213741125821,0.0183827510278586
18.14306443532308,4356.04833984375,0.0,5110.501953125,18.99748992919922,4285.94580078125,0.0001,9000,0.2504734330781127,0.39861465107185745,0.19141696956001902,0.5400962899307026,0.03904802590231021,0.5393734801273486,0.020810195171716776
20.097587672869363,4061.887451171875,0.0,8486.046875,15.994161605834961,3961.032958984375,0.0001,10000,0.27371119526950444,0.4423651529499462,0.21214931788817012,0.5359979288650378,0.03460855220995444,0.5259850262641003,0.02106463963752804
22.05313887198766,4700.9404296875,0.0,5039.9736328125,16.754732131958008,4633.78564453125,0.0001,11000,0.2700464097091839,0.40354826692004947,0.20869060018393096,0.5247701021813205,0.031948362069173605,0.518521195329646,0.02266168171374947
24.008061758677165,2799.508056640625,0.0,3152.16796875,15.918224334716797,2752.068115234375,0.0001,12000,0.29743834346344944,0.40176919097489605,0.23230932448069727,0.5346366544415013,0.029924464287265307,0.5143668457974624,0.024373843347465892
25.960825328032175,3938.288818359375,0.0,5403.5361328125,14.503368377685547,3869.75,0.0001,13000,0.3077682336612754,0.40401448416096986,0.24076119954742956,0.5495096123498996,0.026092029202821054,0.5254508858528857,0.021982833348930524
27.9145107626915,2675.78369140625,0.0,2045.5775146484375,13.05892562866211,2642.26904296875,0.0001,14000,0.3171055653038096,0.4327536289022129,0.24787918393734001,0.566911636556484,0.02448580177324206,0.5250000717922921,0.020283409448997553
29.87732329368591,2388.6279296875,0.0,2901.9599609375,15.735275268554688,2343.873046875,0.0001,15000,0.3161909781397163,0.4198151749173889,0.24777712333607693,0.5652248942190509,0.023093746171313736,0.5174829844505334,0.019993819723469315
31.834076086680096,3338.44921875,0.0,3862.211181640625,16.05619239807129,3283.77099609375,0.0001,16000,0.3064074209155397,0.38953283497117525,0.23712087082351227,0.5442577382911492,0.023028701354552768,0.5252762143958839,0.019875059170182095
33.791378275553384,4175.9248046875,0.0,3536.7197265625,17.64898681640625,4122.90869140625,0.0001,17000,0.3038400743646565,0.40872338098130445,0.23737681506490077,0.568275057959937,0.021467595051355357,0.5088981228587509,0.0212140873307479
35.74766986767451,3263.70068359375,0.0,4417.8720703125,14.778254508972168,3204.74365234375,0.0001,18000,0.30749450362920133,0.40565341445709774,0.2395958690932687,0.5753599715414324,0.020763040108562295,0.5166126371601564,0.02147498497600647
37.69694268306096,2688.1591796875,0.0,2972.282470703125,14.262855529785156,2644.17333984375,0.0001,19000,0.30428368855666516,0.3894217166420424,0.23630923762205785,0.5900109577875239,0.018729991393329225,0.5290683210287102,0.020515665331690927
39.652505838871,3440.005615234375,0.0,3239.136962890625,16.289939880371094,3391.32421875,0.0001,20000,0.32376847087307986,0.39189807978818997,0.2526407996814547,0.5896659571947251,0.018938553122344683,0.5144645040183163,0.02107428473934935
41.60675617059072,4464.6923828125,0.0,3418.708984375,16.955015182495117,4413.55029296875,3.981071705534972e-05,21000,0.30514428794067733,0.3832109652827972,0.23615187301299828,0.6030066722454734,0.017530598632834304,0.5223507724614492,0.019636825785836195
43.572328849633536,2541.86181640625,0.0,3268.2451171875,14.628450393676758,2494.551025390625,3.981071705534972e-05,22000,0.3156425495724724,0.39228241004963116,0.24538506375961802,0.610622037661656,0.017358846829973285,0.5082690004670043,0.020815232712345557
45.52531799475352,3597.28125,0.0,3051.5732421875,16.155654907226562,3550.60986328125,3.981071705534972e-05,23000,0.3108251756895938,0.3825155442785792,0.24025512587471648,0.6138536872060274,0.01660926310355811,0.5200623760437422,0.020456921681668284
