elapsed_min,loss,loss_alignment,loss_consensus,loss_disagreement,loss_distribution,loss_kl,loss_seg,lr,mean_pairwise_distance,step,val_dice,val_ged,val_iou,val_predicted_disagreement_corr,val_predicted_disagreement_mae,val_uncertainty_corr,val_uncertainty_mae
0.6382506132125855,1763.2882080078125,0.0,0.9795727729797363,174352.140625,19.570964813232422,0.0,0.0,0.0001,0.9802592992782593,1,0.027832127833948932,1.163706776832956,0.014998322111439642,-0.017066134046620666,0.5650350684743997,-0.001165147753292675,0.9847547338646497
4.262963934739431,351.1066589355469,0.0,0.9741466045379639,33144.94140625,19.46242904663086,0.0,0.0,0.0001,0.974527895450592,1000,0.019696290883468463,1.5846249826456593,0.010382055578313159,0.3144269523038391,0.24571483016642146,0.036269006769279695,0.015388665272040237
7.885431547959645,137.8198699951172,0.0,0.9810781478881836,11800.486328125,19.618793487548828,0.0,0.0,0.0001,0.9811133742332458,2000,0.019696290883468463,1.5846249826456593,0.010382055578313159,0.43423226147860183,0.14089115879536274,nan,0.013465760091438666
11.526588495572408,68.84159088134766,0.0,0.983112096786499,4899.208984375,19.652877807617188,0.0,0.0,0.0001,0.9832415580749512,3000,0.019696290883468463,1.5846249826456593,0.010382055578313159,0.5247984221858747,0.08318985571708143,-0.013140194105675839,0.013466870171229455
15.144892835617066,57.75337219238281,0.0,0.9652417898178101,3829.099365234375,19.269332885742188,0.0,0.0,0.0001,0.9657773971557617,4000,0.019696290883468463,1.5846249826456593,0.010382055578313159,0.5484710432061827,0.05702816270482462,nan,0.013465760091438666
18.773195616404216,43.93951416015625,0.0,0.9687732458114624,2438.6025390625,19.359737396240234,0.0,0.0,0.0001,0.9692288637161255,5000,0.019696290883468463,1.5846249826456593,0.010382055578313159,0.5919298454058625,0.04442055139464466,nan,0.013465760091438666
22.40916307369868,29.43273162841797,0.0,0.47408515214920044,2036.9696044921875,8.968217849731445,0.0,0.0,0.0001,0.5414096117019653,6000,0.4234977685602466,0.9068557906961414,0.34921287384758565,0.5882091317075973,0.03588901195400364,0.2676606220976733,0.013435962008367778
26.042679365475973,25.934722900390625,0.0,0.49175968766212463,1671.47314453125,9.121641159057617,0.0,0.0,0.0001,0.5620226263999939,7000,0.42334815733187653,0.9049081370092793,0.3502120629397451,0.572636877283252,0.029128494250508213,0.21921347014911888,0.013477183199001404
29.685408786932626,25.151975631713867,0.0,0.5391347408294678,1504.47314453125,9.999417304992676,0.0,0.0,0.0001,0.6042455434799194,8000,0.4117191096247307,0.9241059369507312,0.3405861047694626,0.6417437011578392,0.02527976037333479,0.20070670292956014,0.013327651954934397
33.30981552203496,24.28676414489746,0.0,0.3903855085372925,1700.240234375,7.20628547668457,0.0,0.0,0.0001,0.45251595973968506,9000,0.4093109964792315,0.9269780119467461,0.33914438398509245,0.6286999536950103,0.0224881947930291,0.1899399648958645,0.013325000327444747
36.943769693374634,24.616525650024414,0.0,0.4134259521961212,1708.913330078125,7.444708824157715,0.0,0.0,0.0001,0.4919288158416748,10000,0.4247119751733841,0.9016851972511213,0.35181782968844166,0.6408451629526777,0.020070011054137155,0.17391557084240533,0.013355420201696323
40.57886272271474,23.467758178710938,0.0,0.4065828323364258,1607.0013427734375,7.316428184509277,0.0,0.0,0.0001,0.4696774184703827,11000,0.4250574726960799,0.9015088273624272,0.3519124867243941,0.6380772053086018,0.01816774444697575,0.1585297274690758,0.013454926787194274
44.22043198744456,19.96840476989746,0.0,0.4519960880279541,1162.454345703125,8.253462791442871,0.0,0.0,0.0001,0.5127896070480347,12000,0.4157684783262986,0.9183520740461447,0.34349228094252643,0.6278455743338428,0.017234280772976358,0.15413947031781286,0.013410019424387753
47.85770792961121,20.309829711914062,0.0,0.4730292856693268,1170.3499755859375,8.511725425720215,0.0,0.0,0.0001,0.5439822673797607,13000,0.4199161478687143,0.9126299352072053,0.34632923482097944,0.6247516083736327,0.016299277115744065,0.15575554998660776,0.013405308834277327
51.48772538105647,17.94923973083496,0.0,0.5070700645446777,893.9348754882812,8.908477783203125,0.0,0.0,0.0001,0.5688405632972717,14000,0.4185659568058534,0.9138312678859473,0.34575431196023315,0.624615372309522,0.01590826202404059,0.13683656095087487,0.013459560748200523
55.12170683145523,16.36423110961914,0.0,0.40258359909057617,910.0193481445312,7.183520793914795,0.0,0.0,0.0001,0.47466355562210083,15000,0.41923375855089307,0.9129563833731441,0.34616506146123877,0.6241600011882922,0.014497333900522621,0.14186918807933288,0.013415393359696841
