elapsed_min,loss,loss_alignment,loss_disagreement,loss_kl,loss_seg,lr,step,val_dice,val_ged,val_iou,val_uncertainty_corr,val_uncertainty_mae
0.5300269643465678,375695.1875,0.0,0.0,0.00018720811931416392,375695.1875,0.0001,1,0.027851710071002043,1.1316985044490602,0.01506287547511592,-0.0013709120405878783,0.9853160410625995
2.5131155292193097,7442.15966796875,0.0,0.0,33.504119873046875,7408.65576171875,0.0001,1000,0.3317896410239806,0.35820207852440045,0.2640759407712624,0.45679681650507187,0.04893901931590177
4.478673311074575,6093.66943359375,0.0,0.0,23.0775146484375,6070.591796875,0.0001,2000,0.3378025089571816,0.37150354099340227,0.26602615032233223,0.40490852781375825,0.07594895837674309
6.437235864003499,3714.7138671875,0.0,0.0,18.708681106567383,3696.005126953125,0.0001,3000,0.32374290613713136,0.398799441320663,0.255761995890793,0.49923042273014073,0.026937623884682148
8.385060083866119,4119.25146484375,0.0,0.0,16.92066192626953,4102.33056640625,0.0001,4000,0.28758629975336014,0.377567179545648,0.22641210738426157,0.4996117201806549,0.03305287768936268
10.340120931466421,3950.745361328125,0.0,0.0,19.982501983642578,3930.762939453125,0.0001,5000,0.23194490546555657,0.40577033239759525,0.1773479791898063,0.5286254695179974,0.023482880336982495
12.293454639116923,3345.20849609375,0.0,0.0,14.355766296386719,3330.852783203125,0.0001,6000,0.3162099510055564,0.4314548932593744,0.24805563230116176,0.5001091374836935,0.0254591115277468
14.24264634847641,3171.45947265625,0.0,0.0,16.77081298828125,3154.688720703125,0.0001,7000,0.2845681366335922,0.40298055646828124,0.22051420716351186,0.5232872302512166,0.023531966935002094
16.195492510000864,2941.45947265625,0.0,0.0,15.174713134765625,2926.28466796875,0.0001,8000,0.2949246244738731,0.4083924236413328,0.22988582252299522,0.509171569506137,0.02438417492830183
18.153387661774953,3749.463623046875,0.0,0.0,15.468969345092773,3733.99462890625,0.0001,9000,0.3275639619322256,0.4144704058252407,0.25587699933009467,0.48356071445015336,0.028240751968561198
20.103818424542744,3346.8955078125,0.0,0.0,17.374065399169922,3329.521484375,0.0001,10000,0.323678486156653,0.3799676800927481,0.25386044056623525,0.4791163475610513,0.03324982961635089
22.06225463549296,2004.807373046875,0.0,0.0,15.509466171264648,1989.2978515625,0.0001,11000,0.33235016781027943,0.4071226243444289,0.26043680639988165,0.48879787623131404,0.028265757841136115
24.01676034927368,3019.619873046875,0.0,0.0,14.845788955688477,3004.774169921875,0.0001,12000,0.3227686417716234,0.39085942242052374,0.25268560715759947,0.496069134626588,0.026963918597885578
25.96889142592748,4265.51220703125,0.0,0.0,15.882354736328125,4249.6298828125,0.0001,13000,0.32995131016593127,0.3842514965986876,0.25847645501427535,0.5105384749594498,0.025992604553871458
27.922880264123283,2913.878662109375,0.0,0.0,14.263873100280762,2899.61474609375,0.0001,14000,0.3172902711054256,0.39903498993866005,0.2474545132012587,0.5075740292247192,0.023584484308327203
29.886960248152416,3435.411865234375,0.0,0.0,15.823970794677734,3419.587890625,0.0001,15000,0.3329030512525306,0.3899119414083763,0.26000578151776016,0.5119374328666941,0.024541417907127185
31.844399988651276,2691.743896484375,0.0,0.0,12.401590347290039,2679.34228515625,0.0001,16000,0.29582698290516996,0.3961733007572284,0.23000573168741056,0.5272010670678661,0.020392760966319874
33.79327683846156,1876.8056640625,0.0,0.0,12.952438354492188,1863.853271484375,0.0001,17000,0.31563623280906694,0.3893157735140964,0.2456906684955183,0.5157056826506066,0.02325959858235497
